NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LOG OF SALE PRICE
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2B,1924,3,C7,21948THAVE,10026.0,8.0,2.0,10.0,2000.0,7715.0,1910.0,2,C7,3050000.0,2013-02-05,14.930652148583594
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2B,1927,4,C7,2264FREDERICKDOUGLASSB,10027.0,9.0,1.0,10.0,2500.0,8750.0,1910.0,2,C7,2525000.0,2012-10-18,14.741751620691597
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2B,1938,31,C7,22487THAVENUE,10027.0,8.0,1.0,9.0,2500.0,9400.0,1910.0,2,C7,1650000.0,2013-03-20,14.316285845876763
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2B,1939,33,C7,2270ADAMCPOWELLBLVD,10030.0,8.0,1.0,9.0,1600.0,6355.0,1910.0,2,C7,1190000.0,2012-02-11,13.989463865087712
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2B,1942,29,C7,201WEST136TH,10030.0,9.0,1.0,10.0,3242.0,14355.0,1910.0,2,C7,2000000.0,2012-04-12,14.508657738524219
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2B,1958,20,C7,24558THAVENUE,10027.0,7.0,1.0,8.0,2525.0,8460.0,1901.0,2,C7,1650000.0,2013-03-20,14.316285845876763
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2,2007,1,C7,145WEST138STREET,10030.0,13.0,1.0,14.0,2500.0,11382.0,1915.0,2,C7,2750000.0,2013-08-07,14.827111469642754
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2,2030,27,C7,203WEST144THSTREET,10030.0,28.0,2.0,30.0,4996.0,21678.0,1921.0,2,C7,5000000.0,2013-07-26,15.424948470398375
HARLEM-CENTRAL,08RENTALS-ELEVATORAPARTMENTS,2B,1825,139,D6,108WEST116THSTREET,10026.0,8.0,1.0,9.0,2018.0,9240.0,1900.0,2,D6,1915000.0,2012-09-10,14.465228180596883
HARLEM-CENTRAL,08RENTALS-ELEVATORAPARTMENTS,2,1913,61,D7,2167ADAMCPOWELLBLVD,10027.0,55.0,5.0,60.0,7500.0,35292.0,1910.0,2,D7,7150000.0,2012-11-10,15.78262291467019
HARLEM-CENTRAL,08RENTALS-ELEVATORAPARTMENTS,2,1951,14,D7,281STNICHOLASAVENUE,10027.0,32.0,6.0,38.0,11100.0,50706.0,1921.0,2,D7,7900000.0,2012-12-19,15.88237331743725
HARLEM-CENTRAL,08RENTALS-ELEVATORAPARTMENTS,2,2007,2,D7,2363ADAMCPOWELLBLVD,10030.0,46.0,5.0,51.0,9983.0,38011.0,1920.0,2,D7,8200000.0,2012-11-29,15.919644712234481
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2A,1721,35,S9,260LENOXAVENUE,10027.0,3.0,2.0,5.0,1756.0,5896.0,1910.0,2,S9,71277.0,2013-04-19,11.174328973716898
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2A,1723,37,S9,2032FIFTHAVENUE,10035.0,4.0,2.0,6.0,1700.0,4774.0,1909.0,2,S9,1620000.0,2013-06-18,14.297936707208567
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2A,1829,25,S4,223WEST113STREET,10026.0,4.0,1.0,5.0,1682.0,3131.0,1910.0,2,S4,1650000.0,2013-07-25,14.316285845876763
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2A,1829,25,S4,223WEST113THSTREET,10026.0,4.0,1.0,5.0,1682.0,3131.0,1910.0,2,S4,675000.0,2012-10-19,13.422467969854667
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2A,1908,114,S5,139WEST123RDSTREET,10027.0,5.0,1.0,6.0,2018.0,3120.0,1910.0,2,S5,1300000.0,2012-12-20,14.077874822431765
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2,1911,16,C7,139WEST126STREET,10027.0,12.0,1.0,13.0,3664.0,6632.0,1910.0,2,S4,1900000.0,2012-09-20,14.457364444136669
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2A,1917,32,S3,451LENOXAVENUE,10037.0,3.0,1.0,4.0,1233.0,2646.0,1910.0,2,S3,872000.0,2013-06-19,13.678544702891116
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2A,1920,64,S9,2311ADAMCLAYTONPOWELL,10030.0,2.0,2.0,4.0,1275.0,3332.0,1920.0,2,S9,1267500.0,2013-06-14,14.052557014447475
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2A,1920,102,S3,2305ADAMCPOWELLBLVD,10030.0,3.0,1.0,4.0,1350.0,3600.0,1920.0,2,S3,1100000.0,2012-12-31,13.9108207377686
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2B,1921,29,S9,521LENOXAVENUE,10037.0,6.0,2.0,8.0,1869.0,8400.0,1910.0,2,S9,26000.0,2013-10-05,10.165851817003619
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2A,1921,30,S4,523LENOXAVENUE,10037.0,4.0,1.0,5.0,1875.0,7215.0,1910.0,2,S4,356387.0,2013-04-19,12.78377249804372
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2A,1950,130,S3,303WEST123RDST,10027.0,3.0,1.0,4.0,861.0,2760.0,1900.0,2,S3,1050000.0,2012-01-08,13.864300722133706
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2B,2024,64,S9,272WEST139STREET,10030.0,6.0,4.0,10.0,4147.0,13828.0,1920.0,2,S9,2750000.0,2013-06-18,14.827111469642754
HARLEM-CENTRAL,14RENTALS-4-10UNIT,2A,2024,134,S4,"2374ADAMCLAYTONPOWELL,",10030.0,4.0,1.0,5.0,1243.0,4640.0,1910.0,2,S4,900000.0,2012-12-21,13.710150042306449
HARLEM-EAST,01ONEFAMILYHOMES,1,1660,20,S1,251EAST110STREET,10029.0,1.0,1.0,2.0,1682.0,3920.0,1900.0,1,S1,1740000.0,2012-09-08,14.369395671190711
HARLEM-EAST,02TWOFAMILYHOMES,1,1784,23,S2,23272NDAVENUE,10035.0,2.0,1.0,3.0,1600.0,2926.0,1901.0,1,S2,500000.0,2013-06-25,13.122363377404328
HARLEM-EAST,07RENTALS-WALKUPAPARTMENTS,2,1616,20,C7,1657MADISONAVENUE,10029.0,10.0,1.0,11.0,1912.0,7685.0,1910.0,2,C7,2060000.0,2012-10-09,14.538216540765763
HARLEM-EAST,07RENTALS-WALKUPAPARTMENTS,2,1629,14,C7,1590LEXINGTONAVENUE,10029.0,25.0,5.0,30.0,3838.0,18613.0,1910.0,2,C7,6800000.0,2013-05-15,15.732433170146335
HARLEM-EAST,07RENTALS-WALKUPAPARTMENTS,2B,1631,140,C7,186EAST104STREET,10029.0,9.0,1.0,10.0,2018.0,8105.0,1910.0,2,C7,1580156.0,2012-11-15,14.273034134306467
HARLEM-EAST,07RENTALS-WALKUPAPARTMENTS,2,1677,42,C7,314EAST106THSTREET,10029.0,28.0,2.0,30.0,3785.0,15330.0,1920.0,2,C7,3900000.0,2013-05-13,15.176487111099874
HARLEM-EAST,07RENTALS-WALKUPAPARTMENTS,2,1681,16,C7,331EAST109STREET,10029.0,13.0,1.0,14.0,2395.0,10100.0,1910.0,2,C7,1000000.0,2013-10-07,13.815510557964274
